avg_rating,quest_name,type,length,description_num,description_text,game
1.85,The Tale of Commander Brage,kill,short,1,"I am a guard in a bad mood. I have been sent here to deal with a problem that has been plaguing my fellow guards for years. It's called Commander Brage. He was a good man until he got himself into trouble. Now he is a monster.\nHe used to command our watch on the east side. We were always proud of him. Then one day he became involved in something we didn't know about. A group of thieves stole a shipment of silverware from the city. They had it shipped out to the east. When they returned, they took the shipment to Commander Brage's home.\nThey said they would pay off his debt by killing his wife and children. He refused. So they attacked him. But he fought them off. Then they came back for more. And again he refused. Finally they went away, leaving him alone.\nNow he is a monster. His wife and child are dead. My men don't care what happened to him. If you could get rid of him, I'd give you a king's ransom.",BG
2.375,The Tale of Commander Brage,kill,short,2," You're here! You're finally here! I'm sorry... I've been having a terrible time keeping my cool lately. I don't know what it is about you, but I just can't seem to let go of all these things that have happened over the years.\nI'm not sure if you're one of those people who gets angry easily or something like that, but I've had enough of this crap. I need someone to do me a favor. It's a little personal, so I'll ask you to do it. Find Commander Brage and get him to tell us where he hid the cursed sword. Then we'll pay him off with a king's ransom.",BG
1.764705882,The Tale of Commander Brage,kill,short,3,"I am sorry to bother you with such a dull matter. But I'm in a bad mood.\nA fellow guard has been looking into my work. He said he'd found something called 'Commander Brage' - the former commander of our guard. It seems that he had a curse on him. When it came time to pay off his debt, he took his own life. Now we're going after Commander Brage himself.\nIf we could get to him, perhaps we could make use of his cursed sword.",BG
2.058823529,The Tale of Commander Brage,kill,short,4,I am your superior officer! I'm not happy with you. You're a thief. A thieving bastard. You stole my money. Now I want it back.\nYou have to do what I say or else. I don't care if you die trying. It's all right. You'll get a reward.\nFind Commander Brage. He's hiding out in the woods to the west. Kill him. That's all there is to it.,BG
2.6,The Tale of Commander Brage,kill,short,5,"I am sorry, but I have been having a terrible time lately. I'm not sure what it is, but my mood has gone sour. I don't know why, but something about me just doesn't feel right.\nI've been looking into things here and there, but nothing seems to help. Maybe you could do something for me? You'll need to go to the woods to the west. There's a place called Commander Brage's Woods. He used to command the guards here, but he lost everything when his wife died. Now he lives alone with his daughter.\nFind out if he still has anything left.",BG
2.6,The Tale of Commander Brage,kill,short,6,"You've got to help me! I'm having a terrible time keeping my temper under control. My wife and son were murdered by Commander Brage. He took everything that belonged to us - our home, our money, our farm... and now he's taken our lives as well.\nI don't know what to do. I've tried talking with everyone, but no one seems willing to listen. I need you to take care of it myself.",BG
2.136363636,The Tale of Commander Brage,kill,short,7,You're not going anywhere until you finish what I'm saying!\nI've got a problem here. A real one. And it's big. It's huge. And it's about my men. They're all dead. Killed by something called Commander Brage. He used to command our guard. Now he's just a madman killing people with a cursed sword.\nHe came into town with that sword and started killing everyone. Then he went out on a rampage. We tracked him down to the woods to the west. There were so many bodies we couldn't count them all. But now there aren't any left.\nWe need to get rid of him. Get him out of the city. Kill him. That'll teach him to do this again.,BG
1.526315789,The Tale of Commander Brage,kill,short,8,"I'm not happy with my job! I've been doing it for years, but now that I have this cursed sword, I don't know what to do! It has taken away everything I am. My friends, my family... they're all gone.\nSomeone must have cursed this sword. Someone must have given it to me. I've tracked down one of my old commanders who had a wife and child, but he was murdered by Commander Brage. He was a good man, and he didn't deserve to die like this.",BG
2.318181818,The Tale of Commander Brage,kill,short,9,"I'm not sure what you're doing here, but I have a problem with your presence. You seem upset about something.\nIt seems that one of my men has been murdered. It happened on the road. He was a good man, and he had a wife and children. Now they're gone.\nHe was a good man. But now he's become a monster. And it all started when he found a cursed sword. He used it to murder his entire family.\nNow I want you to go out into the woods to the west and find Commander Brage. Kill him and bring me his sword. Then I'll pay you a king's ransom.",BG
2.894736842,The Tale of Commander Brage,kill,short,10,"I'm not sure what you're doing here, but I have a problem.\nSomeone stole my family's possessions. They were all killed by a cursed sword. It took everything I had - my home, my wife, my children. Now it wants more.\nIt's called Commander Brage. He was a good man, and he was my friend. But now he has become something else. A monster. I've tried everything - holy water, healing potions, even spells. Nothing works.\nIf you could get rid of that creature, I'd pay you a king's ransom.",BG
